,Unnamed: 0.1,Unnamed: 0,rate,attraction,reviews,details,attraction_url,reviews_url,languages,location_img,ratings_list,path
3427,3427,3427,5.0,3428. quad Essaouiratrip,1,Bike Tours • Self-Guided Tours & Rentals,/Attraction_Review-g15277920-d26981090-Reviews-Quad_Essaouiratrip-Diabat_Essaouira_Marrakech_Safi.html,/Attraction_Review-g15277920-d26981090-Reviews-Quad_Essaouiratrip-Diabat_Essaouira_Marrakech_Safi.html,"[{'language': 'French', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Diabat > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3428,3428,3428,5.0,3429. Concept Body Training,2,Health Clubs,/Attraction_Review-g293734-d16701180-Reviews-Concept_Body_Training-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d16701180-Reviews-Concept_Body_Training-Marrakech_Marrakech_Safi.html,"[{'language': 'French', 'count': 2}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 2}]",blob:https://www.tripadvisor.com/e51c3c8b-aac5-4807-8aac-6534d0724ae9,"[{'rating': 'Excellent', 'count': 2}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3429,3429,3429,5.0,3430. RAID BUGGY MAROC,1,"Multi-day Tours • 4WD, ATV & Off-Road Tours",/Attraction_Review-g293734-d27461572-Reviews-RAID_BUGGY_MAROC-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27461572-Reviews-RAID_BUGGY_MAROC-Marrakech_Marrakech_Safi.html,"[{'language': 'French', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3430,3430,3430,Rate not found,3431. Kite & Surf Essaouira,Reviews not found,Surfing & Windsurfing,/Attraction_Review-g298349-d27674972-Reviews-Kite_Surf_Essaouira-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d27674972-Reviews-Kite_Surf_Essaouira-Essaouira_Marrakech_Safi.html,,,,
3431,3431,3431,5.0,3432. Tastes of Tradition: A Cultural Gastronomy Tour,1,Paint & Pottery Studios • Taxis & Shuttles,/Attraction_Review-g293734-d26727674-Reviews-Tastes_of_Tradition_A_Cultural_Gastronomy_Tour-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d26727674-Reviews-Tastes_of_Tradition_A_Cultural_Gastronomy_Tour-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3432,3432,3432,5.0,3433. beinmorocco tours,1,"Multi-day Tours • 4WD, ATV & Off-Road Tours",/Attraction_Review-g293734-d27534147-Reviews-Beinmorocco_tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27534147-Reviews-Beinmorocco_tours-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3433,3433,3433,5.0,3434. Caprice Dmc & Events,1,City Tours • Multi-day Tours,/Attraction_Review-g293734-d27415811-Reviews-Caprice_Dmc_Events-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27415811-Reviews-Caprice_Dmc_Events-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3434,3434,3434,5.0,3435. Epic Zagora Tours,1,"4WD, ATV & Off-Road Tours • Taxis & Shuttles",/Attraction_Review-g293734-d27475666-Reviews-Epic_Zagora_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27475666-Reviews-Epic_Zagora_Tours-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3435,3435,3435,5.0,3436. Gateway Around Morocco Tours,4,"4WD, ATV & Off-Road Tours • Historical & Heritage Tours",/Attraction_Review-g293734-d4287954-Reviews-Gateway_Around_Morocco_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d4287954-Reviews-Gateway_Around_Morocco_Tours-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 4}, {'language': 'All languages', 'count': 4}]",Not Detected,"[{'rating': 'Excellent', 'count': 4}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3436,3436,3436,5.0,3437. Restaurant Riad Challa,2,Adrenaline & Extreme Tours,/Attraction_Review-g293734-d17363101-Reviews-Restaurant_Riad_Challa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17363101-Reviews-Restaurant_Riad_Challa-Marrakech_Marrakech_Safi.html,"[{'language': 'Italian', 'count': 1}, {'language': 'French', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 2}]",Not Detected,"[{'rating': 'Excellent', 'count': 2}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3437,3437,3437,5.0,3438. Daytrip to Essaouira,1,Day Trips,/Attraction_Review-g298349-d26805328-Reviews-Daytrip_to_Essaouira-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d26805328-Reviews-Daytrip_to_Essaouira-Essaouira_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Essaouira > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
