,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
3509,Rate not found,3510. Marrakesh Day Tour,Reviews not found,Details not found,/Attraction_Review-g488109-d20812769-Reviews-Marrakesh_Day_Tour-Imlil_Marrakech_Safi.html,/Attraction_Review-g488109-d20812769-Reviews-Marrakesh_Day_Tour-Imlil_Marrakech_Safi.html,d1256eda-85fe-4d6b-8a23-da51686956f2
3510,5,3511. The Atlas Mountains Treks,Reviews not found,Details not found,/Attraction_Review-g676158-d25326894-Reviews-The_Atlas_Mountains_Treks-Asni_Marrakech_Safi.html,/Attraction_Review-g676158-d25326894-Reviews-The_Atlas_Mountains_Treks-Asni_Marrakech_Safi.html,3b44f386-e85b-4625-a2e1-095f6816c1ba
3511,5,3512. Marrakech Tours City,Reviews not found,Details not found,/Attraction_Review-g293734-d25137194-Reviews-Marrakech_Tours_City-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25137194-Reviews-Marrakech_Tours_City-Marrakech_Marrakech_Safi.html,631fcb74-5cd9-409a-a6ec-29e0befb4d6f
3512,5,3513. Arc travel,Reviews not found,Details not found,/Attraction_Review-g608440-d25347301-Reviews-Arc_travel-Lalla_Takerkoust_Marrakech_Safi.html,/Attraction_Review-g608440-d25347301-Reviews-Arc_travel-Lalla_Takerkoust_Marrakech_Safi.html,eb1c72d8-225a-4490-a440-8a84e98174e9
3513,5,3514. Morocco Destinations Travel,Reviews not found,Details not found,/Attraction_Review-g293734-d20297144-Reviews-Morocco_Destinations_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20297144-Reviews-Morocco_Destinations_Travel-Marrakech_Marrakech_Safi.html,9404b530-81fa-4575-8748-cc7919937a58
3514,5,3515. Karfa Tours,Reviews not found,Details not found,/Attraction_Review-g1847424-d25330829-Reviews-Karfa_Tours-Ourika_Marrakech_Safi.html,/Attraction_Review-g1847424-d25330829-Reviews-Karfa_Tours-Ourika_Marrakech_Safi.html,4ac9c47a-4d8e-4ea0-a519-b67d80784df2
3515,5,3516. My Way Experience,Reviews not found,Details not found,/Attraction_Review-g293734-d25282267-Reviews-My_Way_Experience-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25282267-Reviews-My_Way_Experience-Marrakech_Marrakech_Safi.html,92198ad2-a1c4-4285-9e72-b62f64b62ff6
3516,5,3517. marrakech Tours 2019,Reviews not found,Details not found,/Attraction_Review-g293734-d20404042-Reviews-Marrakech_Tours_2019-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20404042-Reviews-Marrakech_Tours_2019-Marrakech_Marrakech_Safi.html,8485384a-7286-4680-87e4-0babca3f7736
3517,5,3518. Ecstatic Morocco Tours,Reviews not found,Details not found,/Attraction_Review-g293734-d25263375-Reviews-Ecstatic_Morocco_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25263375-Reviews-Ecstatic_Morocco_Tours-Marrakech_Marrakech_Safi.html,e86e24e4-ca32-4c05-9042-269e7f53b8c2
3518,5,3519. Mouhssin tours,Reviews not found,Details not found,/Attraction_Review-g293734-d20048537-Reviews-Mouhssin_tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20048537-Reviews-Mouhssin_tours-Marrakech_Marrakech_Safi.html,02ab89aa-dd20-4eaa-843d-ad7a5408818a
3519,4.2,3520. Marrakech Personal Shopper,Reviews not found,Details not found,/Attraction_Review-g293734-d15224400-Reviews-Marrakech_Personal_Shopper-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15224400-Reviews-Marrakech_Personal_Shopper-Marrakech_Marrakech_Safi.html,d96634f1-9752-4e8f-be8f-e8e14e666093
